Designator,Footprint,Quantity,Value,LCSC Part #
"C13, C15",0603,2,100nF,
"C14, C16",0603,2,4.7nF,
"C19, C20",0805,2,10 µF,
D3,0805,1,LED,
"D4, D5",SOT-23,2,NUP2105L,
F1,0805,1,800mA,
"H1, H2, H3",MountingHole_3.2mm_M3_ISO7380_Pad_TopBottom,3,MountingHole_Pad,
IC1,MX34040NF2,1,MX34040NF2,
"J2, J3, J4",RJ45_Ninigi_GE,3,RJ45_Shielded,
"JP3, JP4",SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,2,SolderJumper_3_Open,
L1,IND_TCK-141_TRP,1,TCK-141,
"Q1, Q2",SOT-23,2,ZXMN3F30FH,
"R1, R17, R20",0805,3,10k,
"R10, R11, R8, R9",0805,4,50R,
R12,0805,1,25k5,
R13,0805,1,20k,
R14,0805,1,4k,
R15,0805,1,39k,
R16,0805,1,2k2,
"R18, R19",0805,2,6R,
R3,0805,1,120R,
U1,MODULE_NUCLEO-F446RE,1,NUCLEO-F446RE,
"U2, U3",SOIC-8_3.9x4.9mm_P1.27mm,2,SN65HVD230,
U5,Converter_DCDC_TRACO_TSR-1_THT,1,TSR_1-2450,
U7,HDSP-A151,1,HDSP-A153,
