Designator,Mid X,Mid Y,Rotation,Layer
C13,129.302,-83.385,90.0,top
C14,122.952,-79.206,0.0,top
C15,129.605,-60.255,90.0,top
C16,123.2,-56.68,0.0,top
C19,89.5,-124.9,270.0,top
C20,90.1,-128.78,0.0,top
D3,184.8275,-131.66,180.0,top
D4,110.5845,-83.27,180.0,top
D5,111.2525,-60.22,180.0,top
F1,94.48,-123.99,180.0,top
J2,93.465,-83.955,270.0,top
J3,93.465,-107.805,270.0,top
J4,93.465,-60.35,270.0,top
L1,85.7,-126.05,90.0,top
Q1,159.1575,-67.03,0.0,top
Q2,159.3025,-60.53,0.0,top
R1,155.3525,-62.03,0.0,top
R10,115.238,-62.506,0.0,top
R11,115.238,-57.68,180.0,top
R12,155.57,-72.51,180.0,top
R13,155.63,-81.69,180.0,top
R14,155.57,-75.46,0.0,top
R15,155.63,-78.75,0.0,top
R16,162.8575,-65.96,0.0,top
R17,162.8675,-68.02,0.0,top
R18,155.35,-65.46,180.0,top
R19,155.32,-59.12,180.0,top
R20,155.36,-68.57,0.0,top
R3,180.8325,-131.69,0.0,top
R8,115.4825,-85.556,0.0,top
R9,115.078,-80.73,180.0,top
U1,134.86,-96.52,0.0,top
U2,124.73,-83.27,180.0,top
U3,124.89,-60.22,180.0,top
U5,85.7675,-135.535,0.0,top
U7,178.2725,-121.8175,90.0,top
